Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Foxx	Virginia		P	NC05	2020	7/8/2020	20016869
Hon.	Foxx	Virginia		P	NC05	2020	8/10/2020	20017127
	Frankel	Amanda Pearl		W	NY10	2020	6/10/2020	7782
	Frankel	Amanda Pearl		X	NY10	2020	5/20/2020	30011546
Hon.	Frankel	Lois		P	FL21	2020	1/23/2020	20014949
Hon.	Frankel	Lois		P	FL21	2020	2/24/2020	20016100
Hon.	Frankel	Lois		P	FL21	2020	3/23/2020	20016258
Hon.	Frankel	Lois		P	FL21	2020	4/27/2020	20016444
Hon.	Frankel	Lois		P	FL21	2020	5/28/2020	20016661
Hon.	Frankel	Lois		P	FL21	2020	6/28/2020	20016827
Hon.	Frankel	Lois		P	FL21	2020	7/24/2020	20017016
Hon.	Frankel	Lois		P	FL21	2020	8/24/2020	20017216
Mr.	Franklin	Scott		C	FL15	2020	7/14/2020	10034813
Mr.	Franklin	Scott		X	FL15	2020	4/16/2020	30008358
	Freeland	Jillian		C	CO05	2020	5/16/2020	10035803
Mr.	Freeman	Kevin		W		2020		8217279
	Freitas	Nick J.		C	VA07	2020	5/14/2020	10035909
	Freshour	Shannon		A	OH04	2020	5/20/2020	10036127
	Freshour	Shannon		C	OH04	2020	5/15/2020	10035902
	Fricilone	Mike		C	IL03	2020	5/10/2020	10035714
	Frontela	Carlos		W		2020		8217589
	Fuller	Clayton		C	GA14	2020	4/14/2020	10034687
	Funk	Joel David		C	IL12	2020	4/30/2020	10035455
Hon.	Gaetz	Matt		P	FL01	2020	1/3/2020	20013811
	Gagarin	Melquiades Mr		C	NY06	2020	5/15/2020	10036023
Hon.	Gallagher	Michael John		P	WI08	2020	1/14/2020	20013884
Hon.	Gallagher	Michael John		P	WI08	2020	2/8/2020	20015036
	Galvin	Alyse		C	AK00	2020	5/14/2020	10035819
	Gamba	Mark		C	OR05	2020	5/14/2020	10035485
	Gandhi	Pritesh		C	TX10	2020	5/15/2020	10036030
	Garbarino	Andrew		C	NY02	2020	5/17/2020	10036047
	Garcia	Michael		C	CA25	2020	6/17/2020	10036148
Hon.	Garcia	Michael		P	CA25	2020	6/17/2020	20016805
	Gardner	Kiani A.		C	AL01	2020	5/12/2020	10035783
	Garlington	William		C	FL07	2020	5/11/2020	8217217
Mr.	Garza	Mauro Everett		C	TX20	2020	5/15/2020	10035957
	Gentles	Karl E.		C	AZ06	2020	5/15/2020	10035965
	Gershon	Perry		C	NY01	2020	5/15/2020	10035685
Hon.	Gianforte	Greg		P	MT00	2020	2/5/2020	20015005
Hon.	Gianforte	Greg		P	MT00	2020	2/7/2020	20015023
Hon.	Gianforte	Greg		P	MT00	2020	2/14/2020	20015054
Hon.	Gianforte	Greg		P	MT00	2020	2/14/2020	20015064
Hon.	Gianforte	Greg		P	MT00	2020	2/18/2020	20016073
Hon.	Gianforte	Greg		P	MT00	2020	3/9/2020	20016104
Hon.	Gianforte	Greg		P	MT00	2020	3/18/2020	20016265
Hon.	Gianforte	Greg		P	MT00	2020	4/7/2020	20016366
Hon.	Gianforte	Greg		P	MT00	2020	4/14/2020	20016403
Hon.	Gianforte	Greg		P	MT00	2020	4/23/2020	20016459
Hon.	Gianforte	Greg		P	MT00	2020	5/7/2020	20016565
Hon.	Gianforte	Greg		P	MT00	2020	5/12/2020	20016583
Hon.	Gianforte	Greg		P	MT00	2020	5/29/2020	20016675
Hon.	Gianforte	Greg		P	MT00	2020	6/25/2020	20016834
Hon.	Gianforte	Greg		P	MT00	2020	7/1/2020	20016854
Hon.	Gianforte	Greg		P	MT00	2020	7/7/2020	20016905
Hon.	Gianforte	Greg		P	MT00	2020	7/20/2020	20016986
Hon.	Gianforte	Greg		P	MT00	2020	7/27/2020	20017029
Hon.	Gianforte	Greg		P	MT00	2020	8/3/2020	20017068
Hon.	Gianforte	Greg		P	MT00	2020	8/18/2020	20017218
Hon.	Gibbs	Bob		P	OH07	2020	1/6/2020	20013862
Hon.	Gibbs	Bob		P	OH07	2020	1/13/2020	20013906
Hon.	Gibbs	Bob		P	OH07	2020	2/1/2020	20014982
Hon.	Gibbs	Bob		P	OH07	2020	6/5/2020	20016722
Hon.	Gibbs	Bob		P	OH07	2020	8/4/2020	20017077
Hon.	Gibbs	Bob		P	OH07	2020	8/25/2020	20017247
	Gibbs	Chris		C	OH04	2020	2/15/2020	10033623
	Gibbs	Kate		C	NJ03	2020	7/17/2020	10035135
	Gibbs	Kate		X	NJ03	2020	4/28/2020	30011447
	Gibson	Kerry W.		C	UT01	2020	5/15/2020	10035621
Mr.	Gimenez	Carlos		C	FL26	2020	6/15/2020	10036441
	Gindi	Sammy		D	NJ06	2020	4/29/2020	8217199
	Gnibus	Kristy		C	PA16	2020	5/15/2020	10035988
	Godfrey	Aaron Paul		C	OH16	2020	5/11/2020	10035774
	Gokhshtein	David E.		D	NY01	2020	4/7/2020	40002950
	Goldstein	Michael Ted		D	CT04	2020	5/6/2020	8217205
	Goldstein	Robbie		C	MA08	2020	5/10/2020	10035565
	Gonsalves	Mark		C	GA07	2020	5/15/2020	10035610
	Gonzales	Caesar		A	GA13	2020	4/20/2020	10035177
	Gonzales	Caesar		C	GA13	2020	4/19/2020	10035158
	Gonzales	Ernest Anthony Tony	II	C	TX23	2020	8/14/2020	10035396
	Gonzales	Ernest Anthony Tony	II	X	TX23	2020	5/6/2020	30011462
	Good	Margaret Elizabeth Rowell		C	FL16	2020	5/14/2020	10035858
	Good	Robert		C	VA05	2020	6/15/2020	10036440
	Gordon	Jacqueline		A	NY02	2020	7/25/2020	10036041
	Gordon	Jacqueline		C	NY02	2020	5/3/2020	10035512
	Gorman	Jeff		C	CA20	2020	5/22/2020	10036156
	Gorman	Meg		C	TN03	2020	5/12/2020	10035794
	Goroff	Nancy		C	NY01	2020	5/29/2020	8217283
Hon.	Gottheimer	Josh		P	NJ05	2020	1/6/2020	20013859
Hon.	Gottheimer	Josh		P	NJ05	2020	2/10/2020	20015007
Hon.	Gottheimer	Josh		P	NJ05	2020	3/16/2020	20016181
Hon.	Gottheimer	Josh		P	NJ05	2020	4/11/2020	20016373
Hon.	Gottheimer	Josh		P	NJ05	2020	5/13/2020	20016556
Hon.	Gottheimer	Josh		P	NJ05	2020	6/10/2020	20016732
Hon.	Gottheimer	Josh		P	NJ05	2020	7/9/2020	20016893
Hon.	Gottheimer	Josh		P	NJ05	2020	8/10/2020	20017128
	Grant	Leslie E.		C	MD07	2020	1/6/2020	10032363
Hon.	Graves	Garret		P	LA06	2020	6/29/2020	20016856
	Gray	Casey Logsdon		C	TX11	2020	2/1/2020	10033574
	Grayson	Alan Mark		C	FL06	2020	8/20/2020	8217576
Dr.	Grayson	Dena MD, PhD		C	FL08	2020	8/20/2020	8217577
	Greco	Carmelita		A	MI11	2020	7/17/2020	8217385
	Greco	Carmelita		C	MI11	2020	7/10/2020	8217360
	Green	Jacquetta L.		C	CA08	2020	2/18/2020	10033640
Hon.	Green	Mark		P	TN07	2020	7/6/2020	20016874
Hon.	Green	Mark		P	TN07	2020	7/18/2020	20016957
Hon.	Green	Mark		P	TN07	2020	8/12/2020	20017031
Hon.	Green	Mark		P	TN07	2020	8/18/2020	20017203
	Greene	Joan		C	AZ05	2020	4/28/2020	10035404
Mrs.	Greene	Marjorie Taylor Mrs		C	GA14	2020	5/14/2020	10035796
	Greenwald	Peter Thomas		C	VA07	2020	3/26/2020	10033487
	Griggs	Joyce		C	GA01	2020	6/18/2020	10036327
	Grossman	Rebecca Walker		C	MA04	2020	8/1/2020	10035474
	Grossman	Rebecca Walker		X	MA04	2020	5/6/2020	30011467
Hon.	Guest	Michael Patrick		P	MS03	2020	4/3/2020	20016360
	Guin	Delter		C	NY17	2020	1/30/2020	10033557
	Guin	Delter		D	NY17	2020	1/31/2020	40002864
	Gurtler	Matt		C	GA09	2020	5/11/2020	10035737
	Guzik	Michael R.		W		2020		8217272
	Gwinn	Lovelynn		C	NY13	2020	5/24/2020	10035777
	Gwinn	Lovelynn		X	NY13	2020	5/20/2020	30011520
	Haas	Harry		C	PA08	2020	5/10/2020	10035493
	Hackett	Mary Patricia		C	IN02	2020	8/12/2020	10035478
	Hackett	Mary Patricia		X	IN02	2020	5/6/2020	30011468
	Haggard	Douglas		W	TX22	2020	4/30/2020	7754
Dr.	Hahn	Matthew Abner		C	WV02	2020	4/7/2020	10034748
	Hale	Christopher Jolly		X	TN04	2020	5/20/2020	30011498
	Hall	Julie		C	MA04	2020	7/6/2020	10036638
	Hall	Julie		D	MA04	2020	5/19/2020	8217248
	Hall	Julie		X	MA04	2020	7/8/2020	30011570
	Hamman	David Roy		C	HI02	2020	6/17/2020	10036436
	Hamman	David Roy		D	HI02	2020	7/10/2020	8217374
	Hamman	David Roy		W	HI02	2020	8/21/2020	7796
Mr.	Hammond	B.C.		D	MS02	2020	2/6/2020	40002866
	Hammond	Sarah		C	PA11	2020	6/18/2020	10036357
Hon.	Handel	Karen Christine		C	GA06	2020	7/24/2020	10036433
	Handley	Mont Andrew		C	IN01	2020	3/28/2020	10034775
	Hansen	Thomas		C	IA01	2020	6/3/2020	8217285
Mr.	Hanson	William		C	AR04	2020	7/17/2020	8217386
Mr.	Hanson	William		X	AR04	2020	5/20/2020	30011496
	Harbour	Joanna		C	OR03	2020	5/15/2020	10035166
	Harbour	Joanna		D	OR03	2020	4/23/2020	40002980
	Harper	James		C	IN01	2020	5/14/2020	10035721
	Harris	James		D	MI05	2020	3/16/2020	40002942
	Harrison	Brigid Callahan		C	NJ02	2020	5/15/2020	10035511
	Harrison	Gladys Lucretia		C	NE02	2020	5/11/2020	10035772
	Harrison	Peter Thomas		C	NY12	2020	5/18/2020	10036066
	Harshbarger	Diana		C	TN01	2020	7/7/2020	10034810
	Harshbarger	Diana		X	TN01	2020	5/20/2020	30011497
	Hart	Rita		C	IA02	2020	5/15/2020	10035591
	Hattersley	Adam Roger		C	FL15	2020	5/7/2020	10035633
	Havis	Lee		C	MD05	2020	4/29/2020	8217203
	Hawk	David		C	TN01	2020	5/11/2020	10035771
	Haynes	Keeda		C	TN05	2020	5/11/2020	10035719
	Hays	Elaine		W	TX13	2020	4/23/2020	7736
	Haywood	Joseph Lee		C	NC06	2020	5/12/2020	10035788
	Haywood	Joseph Lee		D	NC06	2020	2/28/2020	40002895
	Hazelo	Timothy Scott		C	WA02	2020	5/20/2020	8217243
	Heines	Matthew David		D	WA01	2020	6/26/2020	40003044
	Hembree	Bill		C	GA14	2020	2/28/2020	10034659
	Henderson	Beth Elaine		C	IN05	2020	5/15/2020	10035995
	Henderson	Randy		A	FL19	2020	5/15/2020	10035944
	Henderson	Randy		C	FL19	2020	5/14/2020	10035875
	Hermes	Aaron		W	TX22	2020	5/15/2020	7770
Hon.	Hern	Kevin		P	OK01	2020	1/14/2020	20013916
Hon.	Hern	Kevin		P	OK01	2020	2/15/2020	20015066
Hon.	Hern	Kevin		P	OK01	2020	3/17/2020	20016254
Hon.	Hern	Kevin		P	OK01	2020	4/16/2020	20016419
Hon.	Hern	Kevin		P	OK01	2020	5/15/2020	20016607
Hon.	Hern	Kevin		P	OK01	2020	6/16/2020	20016796
Hon.	Hern	Kevin		P	OK01	2020	7/20/2020	20016983
Hon.	Hern	Kevin		P	OK01	2020	8/15/2020	20017192
	Hernandez	Asha Castleberry		C	NY17	2020	5/20/2020	8217247
	Hernandez	Elizabeth		D	TX08	2020	1/29/2020	40002844
	Hernandez-Cigarrusita	Patrick		C	TX16	2020	1/28/2020	10033529
	Hernandez-Cigarrusita	Patrick		D	TX16	2020	1/29/2020	40002854
	Herrell	Stella Yvette		C	NM02	2020	5/15/2020	10035974
	Herzog	Jonathan		C	NY10	2020	5/14/2020	10035800
	Herzog	Jonathan		X	NY10	2020	5/20/2020	30011505
	Hicks	Joshua D.		C	KY06	2020	5/21/2020	10035500
	Hicks	Joshua D.		X	KY06	2020	5/20/2020	30011531
	Hightower	Bill		C	AL01	2020	6/24/2020	8217338
	Hill	David Kimmell	Sr.	C	OK05	2020	5/15/2020	10035946
	Hill	Donald		C	TX05	2020	2/2/2020	10033564
	Hill	Greg		C	TX22	2020	5/5/2020	10035564
Hon.	Hill	James French		P	AR02	2020	1/15/2020	20005968
	Hill	Timothy Aaron		C	TN01	2020	7/7/2020	10036636
	Hilliard	Jerome C.		C	MI04	2020	6/2/2020	10036286
	Hindman	George W.		W	TX17	2020	4/23/2020	7738
	Hites	Becky E.		C	GA13	2020	2/24/2020	10034680
	Hoadley	Jon		C	MI06	2020	5/15/2020	10035831
	Hoffman	Vanessa Marie		C	MD05	2020	1/18/2020	10033466
	Hoffman	Vanessa Marie		D	MD05	2020	1/28/2020	8216942
Mr.	Hogg	Jon Mark		C	TX11	2020	5/8/2020	10035677
	Holden	David		C	FL19	2020	5/20/2020	10035522
	Holden	David		X	FL19	2020	5/11/2020	30011479
Hon.	Holding	George		P	NC02	2020	3/12/2020	8217083
Hon.	Holding	George		P	NC02	2020	8/21/2020	8217594
Dr.	Holliday	Lindsay Doc		A	GA08	2020	5/10/2020	10035718
Dr.	Holliday	Lindsay Doc		C	GA08	2020	5/3/2020	10035003
Dr.	Holliday	Lindsay Dozier		X	GA08	2020	4/28/2020	30011448
Hon.	Hollingsworth	Trey		P	IN09	2020	5/18/2020	8217232
Hon.	Hollingsworth	Trey		P	IN09	2020	6/15/2020	8217322
Hon.	Hollingsworth	Trey		P	IN09	2020	7/1/2020	8217352
Hon.	Hollingsworth	Trey		P	IN09	2020	8/5/2020	8217447
Mrs.	Homrich	Lynne Fair		C	GA07	2020	4/27/2020	10035339
	Hook	Matthew Caroll		C	IN05	2020	4/19/2020	10035077
	Hoover	Alan Thomas		C	MI08	2020	1/25/2020	10033509
	House	Steven		C	CO06	2020	5/15/2020	10035378
	Huffstetler	Roger Dean		C	VA05	2020	5/12/2020	10035230
	Huggins	Dewon		D	SC07	2020	5/12/2020	8217229
	Huggins	Dewon		W		2020		8217231
Mr.	Hughes	David Russell Mr		C	MN07	2020	7/13/2020	10035827
Mr.	Hughes	David Russell Mr		X	MN07	2020	5/20/2020	30011508
	Hunt	Shelby Xavier		A	OH15	2020	2/14/2020	10033648
	Hunt	Shelby Xavier		C	OH15	2020	2/13/2020	10033636
Hon.	Hunter	Duncan		T	CA50	2020	2/21/2020	10034665
	Hussein	Azeem		D	NY04	2020	5/6/2020	8217206
	Iacino	James		C	CO03	2020	5/9/2020	10035060
	Iannuzzi	Carol H		C	TX26	2020	5/3/2020	10035507
	Ijih	Nelson Terna		D	OR04	2020	5/15/2020	40003011
	Ingram	Rian		C	WA10	2020	5/14/2020	10035711
Hon.	Issa	Darrell E.		C	CA50	2020	1/21/2020	10032445
Hon.	Issa	Darrell E.		C	CA50	2020	6/19/2020	10036128
Hon.	Issa	Darrell E.		X	CA50	2020	5/27/2020	30011557
	Ives	Jeanne		C	IL06	2020	5/15/2020	10035945
	Ivey	Amber		C	MD07	2020	6/15/2020	10036447
	Jackson	Ronny Lynn		C	TX13	2020	5/15/2020	10035457
	Jacobs	Christopher L.		C	NY27	2020	5/15/2020	10035648
	Jacobs	Sara		C	CA53	2020	8/13/2020	10035488
	Jacobs	Sara		X	CA53	2020	5/6/2020	30011469
	James	Colby C.		C	LA02	2020	6/26/2020	10036586
	James	Hannah		D	CA19	2020	7/24/2020	8217417
	Jaramillo	David		C	TX17	2020	5/15/2020	10035962
Dr.	Jarvis	Joseph Quinn		C	UT02	2020	1/28/2020	10033532
	Johannesen	Trace		C	TX04	2020	8/12/2020	10038064
	Johnson	Alexis M.		C	NM03	2020	5/15/2020	10035938
	Johnson	Daren Craig		C	FL11	2020	7/29/2020	10037310
	Johnson	Dean		C	WA10	2020	7/16/2020	10036970
	Johnson	Dean		D	WA10	2020	5/11/2020	8217230
	Johnson	Elizabeth		C	GA12	2020	4/30/2020	10035468
	Johnson	Lacy		C	MN05	2020	8/5/2020	10037671
Hon.	Jones	Brenda		C	MI13	2020	5/15/2020	10035818
Mr.	Jones	Evan Owen		D	WA04	2020	6/4/2020	40003030
Ms.	Jones	Gina Ortiz		C	TX23	2020	5/15/2020	10036018
	Jones	Laura		C	TX08	2020	2/2/2020	10033562
Mr.	Jones	Mondaire		C	NY17	2020	5/15/2020	10036025
	Jones	Rob		X	VA10	2020	4/28/2020	30011450
	Jordan	Jeff		C	VA08	2020	6/29/2020	10035700
	Jordan	Jeff		X	VA08	2020	5/20/2020	30011492
	Jordan	Zayira		D	PR00	2020	5/26/2020	40003018
	Joy	Elizabeth L.		C	NY20	2020	4/28/2020	10035343
Hon.	Joyce	David P.		P	OH14	2020	7/30/2020	20014973
	Kahele	Kaiali'I		C	HI02	2020	5/15/2020	10035869
	Kahn	Kevin		C	OH01	2020	5/13/2020	10035836
	Kaneshiro	Elise Hatsuko		C	HI02	2020	5/29/2020	10036238
	Kaneshiro	Elise Hatsuko		D	HI02	2020	6/10/2020	8217319
	Karinshak	Zahra S.		C	GA07	2020	5/21/2020	10036147
	Karpacs	George A.		D	PA18	2020	4/7/2020	8217145
	Katz	David M.		W		2020		8217194
	Kean	Thomas H.	Jr.	C	NJ07	2020	8/13/2020	10035134
	Kean	Thomas H.	Jr.	X	NJ07	2020	4/28/2020	30011446
	Kedley	Thomas J.		W	IA02	2020	4/17/2020	7727
	Keith	Pam M.		C	FL18	2020	7/17/2020	10035588
	Keith	Pamela M.		X	FL18	2020	5/11/2020	30011483
Mr.	Kelley	Chris		C	MN05	2020	5/9/2020	10035683
	Kelly	Leonard Shawn		C	TX07	2020	1/29/2020	10033538
Hon.	Kelly	Mike		P	PA16	2020	2/25/2020	8217005
Hon.	Kelly	Mike		P	PA16	2020	4/20/2020	8217163
Hon.	Kelly	Mike		P	PA16	2020	5/5/2020	8217198
Hon.	Kelly	Mike		P	PA16	2020	5/20/2020	8217253
Hon.	Kelly	Mike		P	PA16	2020	7/22/2020	8217402
	Kelly	Timothy P.		C	MI05	2020	6/28/2020	10036583
	Kennedy	Amy		C	NJ02	2020	6/7/2020	10035571
	Kennedy	Brynne		C	CA04	2020	5/8/2020	10035667
	Kennedy	James		C	FL08	2020	6/9/2020	10036336
Hon.	Kennedy	Joseph P.	III	P	MA04	2020	1/8/2020	8216878
Hon.	Kennedy	Joseph P.	III	P	MA04	2020	7/21/2020	8217403
	Kennedy	Richard		C	TX17	2020	4/26/2020	10035338
	Kennedy	Ronda		C	CA26	2020	5/14/2020	10035935
Mr.	Kennemore	Zachary Heathcliff		D	GA07	2020	2/12/2020	8216980
	Keys	Reginald Fernando		C	CA43	2020	2/13/2020	10033639
	Khalil	Peter		W	WA03	2020	4/23/2020	7732
Hon.	Khanna	Rohit		P	CA17	2020	1/9/2020	8216879
Hon.	Khanna	Rohit		P	CA17	2020	2/10/2020	8216965
Hon.	Khanna	Rohit		P	CA17	2020	3/9/2020	8217060
Hon.	Khanna	Rohit		P	CA17	2020	4/20/2020	8217164
Hon.	Khanna	Rohit		P	CA17	2020	5/13/2020	8217213
Hon.	Khanna	Rohit		P	CA17	2020	6/17/2020	8217329
Hon.	Khanna	Rohit		P	CA17	2020	7/17/2020	8217394
Hon.	Khanna	Rohit		P	CA17	2020	8/17/2020	8217557
	Khazei	Alan		A	MA04	2020	8/24/2020	10038829
	Khazei	Alan		C	MA04	2020	5/29/2020	10035606
	Khazei	Alan		X	MA04	2020	5/11/2020	30011484
Dr.	Kim	Heerak Christian		D	VA08	2020	5/11/2020	40003003
	Kim	Young		A	CA39	2020	5/20/2020	10036117
	Kim	Young		A	CA39	2020	5/20/2020	10036122
	Kim	Young		A	CA39	2020	5/20/2020	10036125
	Kim	Young		C	CA39	2020	5/20/2020	10036107
Ms.	King	Jessica Jeane		C	WI06	2020	4/26/2020	10035335
	King	Joseph Wayne Mr	II	C	NC11	2020	2/6/2020	10033605
Hon.	Kinzinger	Adam		P	IL16	2020	5/7/2020	20016564
Hon.	Kinzinger	Adam		P	IL16	2020	6/10/2020	20016742
Hon.	Kinzinger	Adam		P	IL16	2020	6/10/2020	20016743
Hon.	Kinzinger	Adam		P	IL16	2020	7/21/2020	20017001
	Kistner	Tyler		A	MN02	2020	5/15/2020	10035964
	Kistner	Tyler		C	MN02	2020	3/10/2020	10034715
	Knaggs	Andrew Ferrieres		C	VA07	2020	5/15/2020	10036011
	Knowlton	Diane Elise		C	TX13	2020	2/3/2020	10033582
Mr.	Kokinadis	Brett		C	NM01	2020	5/7/2020	10035380
	Kowal	Daniel		C	FL19	2020	6/15/2020	10036416
	Kreibich	Arati		C	NJ05	2020	5/15/2020	10035764
	Kreiselmaier	Elizabeth		C	WA06	2020	4/25/2020	10035334
	Kulkarni	Sri Preston		C	TX22	2020	5/15/2020	10035993
	Kumar	Rishi		C	CA18	2020	5/15/2020	10035913
	Kunkel	Catherine		C	WV02	2020	4/25/2020	10035325
Hon.	Kustoff	David		P	TN08	2020	3/2/2020	8217045
	Kuzmich	Stephen		C	TX24	2020	5/2/2020	10035361
	Ladjevardian	Sima Jandaghi		C	TX02	2020	8/12/2020	10035388
	Ladjevardian	Sima Jandaghi		X	TX02	2020	5/6/2020	30011465
	Lake	Jeannine Lee		C	IN06	2020	8/27/2020	10038861
	Lal	Amit		C	NY05	2020	4/26/2020	10035163
	Lamb	Ryan		C	IN01	2020	4/13/2020	10034838
	Lamm	Debra		A	MT00	2020	5/15/2020	10035989
	Lamm	Debra		C	MT00	2020	5/14/2020	10035905
	Lancia	Bob		C	RI02	2020	6/21/2020	10036518
Dr.	Landon	Sheldon (Shelli) Elizabeth		A	OK05	2020	6/1/2020	10036258
Dr.	Landon	Sheldon (Shelli) Elizabeth		C	OK05	2020	6/1/2020	10036257
Hon.	Langevin	James R.		P	RI02	2020	1/31/2020	20014978
Hon.	Langevin	James R.		P	RI02	2020	3/3/2020	20016151
Hon.	Langevin	James R.		P	RI02	2020	3/30/2020	20016320
Hon.	Langevin	James R.		P	RI02	2020	5/5/2020	20016547
Hon.	Langevin	James R.		P	RI02	2020	5/5/2020	20016548
Hon.	Langevin	James R.		P	RI02	2020	6/3/2020	20016705
Hon.	Langevin	James R.		P	RI02	2020	7/23/2020	20016934
Hon.	Langevin	James R.		P	RI02	2020	8/18/2020	20017186
Hon.	Langevin	James R.		P	RI02	2020	8/24/2020	20017238
	Lape	Brandon Michael		C	OH07	2020	1/27/2020	10033526
	Larios-Elias	Citlaly		C	NV01	2020	4/30/2020	10035212
Hon.	Larson	John B.		P	CT01	2020	1/31/2020	20013919
	Larson	Samuel		W		2020		8217149
Hon.	Latta	Robert E.		P	OH05	2020	3/17/2020	20016256
	Laughridge	Matthew		C	GA14	2020	5/9/2020	10034814
	Laughridge	Matthew		X	GA14	2020	4/16/2020	30008361
	Laugisch	Thaddeus Robert		D	MN07	2020	5/13/2020	40003005
	Leckey	Ihssane		C	MA04	2020	7/10/2020	10036741
	Lee	Katelyn		C	MS03	2020	2/28/2020	10034698
	Lee	Katelyn		D	MS03	2020	3/4/2020	40002923
Hon.	Lee	Susie		P	NV03	2020	1/16/2020	20012719
Hon.	Lee	Susie		P	NV03	2020	2/25/2020	20015037
Hon.	Lee	Susie		P	NV03	2020	4/28/2020	20016193
Hon.	Lee	Susie		P	NV03	2020	6/15/2020	20016555
Hon.	Lee	Susie		P	NV03	2020	7/10/2020	20016887
	Leger Fernandez	Teresa		C	NM03	2020	5/15/2020	10036013
	Lehtola	Sakinah Lee		C	FL24	2020	6/18/2020	10036496
Mr.	Lemay	Eric N.		C	WA10	2020	7/13/2020	10036658
Mr.	Lemay	Eric N.		X	WA10	2020	7/13/2020	30011572
Mr.	Lemmo	Alfred C.		C	MI13	2020	5/15/2020	10035976
	Lesinski	John		C	VA05	2020	5/15/2020	10035820
	Lesinski	John		X	VA05	2020	5/20/2020	30011507
	Letlow	Luke Joshua		C	LA05	2020	5/14/2020	10034811
	Levy	Lauren Allison		C	FL21	2020	5/13/2020	10035865
	Levy	Lauren Allison		W		2020		8217270
Mr.	Lewellen	Tom		C	AZ06	2020	1/25/2020	10033505
	Lewis	Chris		W	AL05	2020	5/13/2020	7766
	Lewis	Jeffrey		D	WV03	2020	2/19/2020	8216977
	Licciardello	Aaron Joseph		D	FL11	2020	4/7/2020	8217146
	Liggera	David		D	UT01	2020	2/28/2020	40002894
	Linos	Natalia		C	MA04	2020	5/25/2020	10036130
	Lipetri	Mike		C	NY02	2020	5/9/2020	10035697
	Liverman	Jeron		C	TX24	2020	5/14/2020	10035707
	Lo	Sia		C	MN04	2020	5/15/2020	10035482
Hon.	Lofgren	Zoe		P	CA19	2020	3/10/2020	20016162
Hon.	Lofgren	Zoe		P	CA19	2020	4/11/2020	20016393
Hon.	Lofgren	Zoe		P	CA19	2020	7/8/2020	20016906
Hon.	Lofgren	Zoe		P	CA19	2020	8/12/2020	20017173
	Lombard	Laura		C	KS04	2020	6/15/2020	10036438
	Londrigan	Betsy Dirksen		C	IL13	2020	5/15/2020	10035894
Hon.	Long	Billy		P	MO07	2020	4/13/2020	8217165
Hon.	Long	Billy		P	MO07	2020	7/1/2020	8217353
	Long	Carolyn N.		X	WA03	2020	5/20/2020	30011516
	Lopez	Samelys		C	NY15	2020	5/6/2020	10035416
	Lovvorn	Tracy Lyn		C	MA02	2020	5/18/2020	10036082
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/2/2020	20013837
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/13/2020	20013913
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/13/2020	20013914
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/13/2020	20013915
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/18/2020	20014935
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/18/2020	20014936
Hon.	Lowenthal	Alan S.		P	CA47	2020	1/18/2020	20014937
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/2/2020	20014984
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/2/2020	20014985
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/2/2020	20014986
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/13/2020	20015060
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/13/2020	20015061
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/15/2020	20015067
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/15/2020	20015068
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/15/2020	20015069
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/16/2020	20016066
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/16/2020	20016067
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/21/2020	20016094
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/21/2020	20016095
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/21/2020	20016096
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016213
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016214
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016215
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016216
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016217
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016218
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016219
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016220
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016221
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016222
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016223
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016224
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016225
