Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2020	8/9/2020	20017058
	Bice	Stephanie		C	OK05	2020	5/30/2020	10036250
Hon.	Bilirakis	Gus M.		P	FL12	2020	8/20/2020	8217571
	Bishop	Michael		C	SC02	2020	7/9/2020	10036754
	Bishop	Michael		W		2020		8217415
	Bivens	Lydia Noelle		D	TN04	2020	8/5/2020	40003061
	Blair	John		X	NM03	2020	5/11/2020	30011470
	Blake	Michael Alexander		C	NY15	2020	5/15/2020	10036029
	Blankenbeker	Lynne		C	NH02	2020	4/27/2020	10035379
	Blueming	Michael Joesph	Jr.	W	FL21	2020	4/23/2020	7739
Hon.	Blumenauer	Earl		P	OR03	2020	1/10/2020	20013901
Hon.	Blumenauer	Earl		P	OR03	2020	2/27/2020	20016125
Hon.	Blumenauer	Earl		P	OR03	2020	4/16/2020	20016347
Hon.	Blumenauer	Earl		P	OR03	2020	5/20/2020	20016588
Hon.	Blumenauer	Earl		P	OR03	2020	6/3/2020	20016707
Hon.	Blumenauer	Earl		P	OR03	2020	6/15/2020	20016784
Hon.	Blumenauer	Earl		P	OR03	2020	7/17/2020	20016979
Hon.	Blumenauer	Earl		P	OR03	2020	8/10/2020	20017141
Hon.	Blumenauer	Earl		P	OR03	2020	8/24/2020	20017242
	Boggus	Michael Shane		D	GA09	2020	2/19/2020	8216976
	Bognet	Jim		C	PA08	2020	3/28/2020	10034735
	Bolinger	Larry Lee Scott		C	NE03	2020	5/5/2020	10035549
	Bolz	Kate		C	NE01	2020	4/17/2020	10035069
	Bomer	Articia		D	MI13	2020	6/16/2020	40003039
	Borom	Melissa		C	IN01	2020	4/22/2020	8217169
	Boroughs	Adair Ford		C	SC02	2020	5/12/2020	10035712
	Bourdeaux	Carolyn		C	GA07	2020	5/15/2020	10035689
	Boville	Bruce Bintliff		W		2020		8217274
	Boyd	Vance		D	TX19	2020	3/11/2020	8217077
	Bradley	James		C	CA33	2020	5/8/2020	10035076
	Brady	Helen		D	MA09	2020	8/5/2020	40003060
	Brady	Helen		X	MA09	2020	8/3/2020	30011584
	Briones	Heidi		C	OR01	2020	4/1/2020	10034743
	Britvec	Kel Jacobs 2395601987		C	FL15	2020	2/23/2020	10034676
	Brizzi	Carl Joseph		C	IN05	2020	5/11/2020	10035747
Hon.	Brooks	Mo		P	AL05	2020	1/20/2020	20014938
Hon.	Brooks	Mo		P	AL05	2020	3/24/2020	20016288
Hon.	Brooks	Mo		P	AL05	2020	5/22/2020	20016653
Hon.	Brooks	Mo		P	AL05	2020	7/11/2020	20016939
Hon.	Brooks	Susan W.		P	IN05	2020	2/27/2020	20016088
Hon.	Brooks	Susan W.		P	IN05	2020	4/27/2020	20016445
Mr.	Brown	Ronald		C	TN07	2020	6/16/2020	10036469
Mr.	Brown	Ronald		D	TN07	2020	6/24/2020	8217350
	Browning	Dean Napier		C	PA07	2020	6/15/2020	10035425
	Browning	Dean Napier		X	PA07	2020	5/6/2020	30011464
	Brzozowski	Dani		C	IL16	2020	5/2/2020	10035245
	Bubser	Christine		C	CA08	2020	8/13/2020	10035837
	Bubser	Christine		X	CA08	2020	5/20/2020	30011511
Hon.	Buchanan	Vern		P	FL16	2020	2/17/2020	20016069
Hon.	Buchanan	Vern		P	FL16	2020	3/31/2020	20016326
Hon.	Buchanan	Vern		P	FL16	2020	5/22/2020	20016651
Hon.	Buchanan	Vern		P	FL16	2020	8/7/2020	20017118
	Buchwald	David		X	NY17	2020	5/20/2020	30011519
	Buehler	Knute		C	OR02	2020	5/15/2020	10035109
	Bullock	Benjamin E.		C	GA14	2020	5/16/2020	10035590
	Bunkeddeko	Adem		C	NY09	2020	5/5/2020	10035563
Hon.	Burchett	Tim		P	TN02	2020	2/26/2020	20016116
	Burger	Harry R.		D	NY02	2020	7/27/2020	40003058
Mr.	Burley	Brian J.		X	CA48	2020	5/20/2020	30011506
	Bush	Cori		C	MO01	2020	8/15/2020	10038713
Hon.	Bustos	Cheri		P	IL17	2020	3/7/2020	20016150
Hon.	Bustos	Cheri		P	IL17	2020	5/19/2020	20016614
Dr.	Butler	Jason		C	NC02	2020	4/20/2020	8217158
Dr.	Butler	Jason		W		2020		8217177
	Buttar	Shahid		C	CA12	2020	5/13/2020	10035715
	Byers	Jamie		C	CA04	2020	5/7/2020	10035266
Mr.	Cadena	Robert M.		C	TX18	2020	5/6/2020	10035129
	Cady	Jeffery		C	TX11	2020	4/17/2020	10035066
	Caine	Scott		C	FL08	2020	5/26/2020	10035854
	Caldarera	Joseph Matthew		C	NY11	2020	5/12/2020	10035809
	Caldwell	James Andrew		C	CA24	2020	4/22/2020	8217168
	Cammack	Kat		C	FL03	2020	5/15/2020	10035817
	Cammisa	Mike		C	PA08	2020	3/27/2020	10034704
	Campa-Najjar	Ammar		C	CA50	2020	5/19/2020	8217244
	Campbell	Rayla		C	MA07	2020	5/11/2020	10035205
Mr.	Cano	Christian Christian Mr	Jr	C	NC09	2020	6/25/2020	10036542
	Caraway	Barbara Len Mallory		C	TX30	2020	2/2/2020	10033576
	Carl	Jerry Lee	Jr.	C	AL01	2020	5/14/2020	10035859
Hon.	Carter	Earl Leroy		P	GA01	2020	6/11/2020	20016752
Hon.	Carter	Earl Leroy		P	GA01	2020	8/13/2020	20017188
	Caruso-Cabrera	Michelle		C	NY14	2020	5/22/2020	8217257
	Castillo	Hector L Dr		C	NJ05	2020	4/20/2020	8217157
Hon.	Castor	Kathy		P	FL14	2020	1/8/2020	20013869
Hon.	Castor	Kathy		P	FL14	2020	4/3/2020	20016355
Hon.	Castor	Kathy		P	FL14	2020	4/22/2020	20016456
Hon.	Castor	Kathy		P	FL14	2020	5/20/2020	20016569
Hon.	Castor	Kathy		P	FL14	2020	7/16/2020	20016973
Hon.	Castor	Kathy		P	FL14	2020	8/6/2020	20017104
	Cavell	David F.		C	MA04	2020	5/15/2020	10035881
	Cawthorn	David Madison		A	NC11	2020	3/17/2020	10033653
	Cawthorn	David Madison		C	NC11	2020	2/4/2020	10033596
Mr.	Cerreta	Damon Lawrence		C	CT04	2020	6/29/2020	10036630
Mr.	Chamberlin	Ryan		C	FL03	2020	8/17/2020	10036900
	Chase	Claire		X	NM02	2020	4/28/2020	30011455
	Chase	Todd		C	FL03	2020	7/17/2020	10036563
	Chase	Todd		X	FL03	2020	3/3/2020	8217039
	Cheek	Jamie		C	UT01	2020	4/19/2020	10035147
	Childs	Vivian Louise		A	GA02	2020	5/16/2020	10036043
	Childs	Vivian Louise		C	GA02	2020	5/15/2020	10035846
	Christensen	Adam J.		C	FL03	2020	8/20/2020	10038751
Mr.	Christensen	Trent		C	UT04	2020	3/25/2020	8217112
	Christie	Jennifer		C	IN05	2020	5/15/2020	10035660
Hon.	Cisneros	Gilbert		P	CA39	2020	1/10/2020	20013867
Hon.	Cisneros	Gilbert		P	CA39	2020	2/18/2020	20015011
Hon.	Cisneros	Gilbert		P	CA39	2020	3/10/2020	20016182
Hon.	Cisneros	Gilbert		P	CA39	2020	4/16/2020	20016402
Hon.	Cisneros	Gilbert		P	CA39	2020	5/13/2020	20016567
Hon.	Cisneros	Gilbert		P	CA39	2020	6/16/2020	20016758
Hon.	Cisneros	Gilbert		P	CA39	2020	7/17/2020	20016915
Hon.	Cisneros	Gilbert		P	CA39	2020	8/19/2020	20017157
	Clark	John Mario		C	TN01	2020	5/14/2020	10035443
Hon.	Clark	Katherine M.		P	MA05	2020	2/4/2020	20015009
Hon.	Clark	Katherine M.		P	MA05	2020	4/20/2020	20016438
Hon.	Clark	Katherine M.		P	MA05	2020	5/29/2020	20016678
Hon.	Clark	Katherine M.		P	MA05	2020	8/12/2020	20017166
Hon.	Clay	Wm. Lacy		P	MO01	2020	8/10/2020	8217474
	Clemmer	Eli Dantzler		C	NH02	2020	7/22/2020	8217398
Dr.	Clifford	Bill		C	KS01	2020	5/14/2020	10035734
Ms.	Cline	Natalie		C	WV01	2020	4/23/2020	10035297
	Clyde	Andrew		C	GA09	2020	5/9/2020	10035680
Ms.	Cobb	Tedra		C	NY21	2020	5/15/2020	10035948
	Cohen	Edward G.		C	NV02	2020	5/9/2020	10035692
Hon.	Cohen	Steve		P	TN09	2020	4/22/2020	20016457
Hon.	Cohen	Steve		P	TN09	2020	5/22/2020	20016655
Hon.	Cohen	Steve		P	TN09	2020	5/22/2020	20016656
Hon.	Cohen	Steve		P	TN09	2020	5/22/2020	20016657
Hon.	Cohen	Steve		P	TN09	2020	6/18/2020	20016812
	Cohn	Alan Michael		C	FL15	2020	5/12/2020	10035816
	Coker	Lloyd F.		C	TX10	2020	5/27/2020	10036199
	Colarusso	Caroline		A	MA05	2020	6/23/2020	10036556
	Colarusso	Caroline		D	MA05	2020	5/21/2020	8217267
	Colarusso	Joseph Anthony		C	MA05	2020	6/23/2020	10036275
	Cole	Donald Eugene		C	GA02	2020	5/4/2020	10035227
	Coleman	Jeff		X	AL02	2020	4/28/2020	30011452
	Coleman	Kim		C	UT04	2020	5/15/2020	10036009
	Coll	Gregory Thomas		C	MD08	2020	4/18/2020	10034767
	Coll	Gregory Thomas		X	MD08	2020	4/16/2020	30008355
Mr.	Collick	John William	Jr.	C	VA03	2020	7/20/2020	10037037
Ms.	Collins	Genevieve D.		C	TX32	2020	5/15/2020	10035773
Hon.	Comer	James		P	KY01	2020	2/5/2020	8216957
Hon.	Comer	James		P	KY01	2020	3/25/2020	8217113
Hon.	Comer	James		P	KY01	2020	8/24/2020	20017245
Hon.	Conaway	K. Michael		P	TX11	2020	2/7/2020	20014994
Hon.	Conaway	K. Michael		P	TX11	2020	2/7/2020	20015025
Hon.	Conaway	K. Michael		P	TX11	2020	3/10/2020	20016198
Hon.	Conaway	K. Michael		P	TX11	2020	4/6/2020	20016346
Hon.	Conaway	K. Michael		P	TX11	2020	5/4/2020	20016520
Hon.	Conaway	K. Michael		P	TX11	2020	6/9/2020	20016729
Hon.	Conaway	K. Michael		P	TX11	2020	7/10/2020	20016929
	Conforti	Christine Marie		C	NJ04	2020	5/15/2020	10035749
	Conley	Dylan		C	RI02	2020	7/7/2020	10036549
	Conley	Dylan		D	RI02	2020	6/26/2020	8217358
Hon.	Connolly	Gerald E.		P	VA11	2020	1/29/2020	20014965
Hon.	Connolly	Gerald E.		P	VA11	2020	6/18/2020	20016799
Hon.	Connolly	Gerald E.		P	VA11	2020	7/26/2020	20016811
	Conole	Francis		X	NY24	2020	5/11/2020	30011473
	Cooke	Kevin		C	GA14	2020	5/10/2020	10034724
	Cookingham	Kevin		C	CA16	2020	6/18/2020	8217330
Mrs.	Cottrell	Dana		C	FL11	2020	5/14/2020	10035934
Hon.	Courtney	Joe		P	CT02	2020	7/29/2020	20017036
Hon.	Courtney	Joe		P	CT02	2020	8/27/2020	20017260
Dr.	Cowan	John		C	GA14	2020	5/6/2020	8217204
Mr.	Cowen	Martin Lindsey	III	C	GA13	2020	4/17/2020	10035079
	Creviere	JM		C	MI02	2020	6/30/2020	10036640
Mr.	Crist	Terry Vincent		C	OH09	2020	2/6/2020	10033592
	Crowe	Dewey Rusty Edward	II	C	TN01	2020	4/29/2020	8217190
	Crumpacker	Jimmy		C	OR02	2020	5/15/2020	10035567
	Cruz	Erin		A	CA36	2020	5/15/2020	10035994
	Cruz	Erin		C	CA36	2020	5/15/2020	10035980
	Cruz	Israel		W	NY14	2020	4/30/2020	7751
Mrs.	Cruz	Johsira C.		C	GA04	2020	5/15/2020	10035951
	Cunningham	Ryan Barrett		C	CA52	2020	5/10/2020	10035720
Mr.	Cunningham	William Robert		A	TX26	2020	1/27/2020	10033523
Mr.	Cunningham	William Robert		C	TX26	2020	1/24/2020	10033495
Hon.	Curtis	John		P	UT03	2020	4/9/2020	20016299
Hon.	Curtis	John		P	UT03	2020	4/20/2020	20016416
Hon.	Curtis	John		P	UT03	2020	5/4/2020	20016532
Hon.	Curtis	John		P	UT03	2020	5/18/2020	20016613
Hon.	Curtis	John		P	UT03	2020	6/16/2020	20016693
Hon.	Curtis	John		P	UT03	2020	7/1/2020	20016872
Hon.	Curtis	John		P	UT03	2020	8/25/2020	20017225
	Da Rosa	Victor Garcia		W	FL21	2020	5/11/2020	7762
	Da Rosa	Victor Garcia		X	FL21	2020	4/28/2020	30011449
	Daigle	Paul Richard		D	PA11	2020	4/7/2020	40002961
	Dalrymple	Jon	Jr.	C	NJ05	2020	4/17/2020	10035094
	Daly	Andrew Oren		C	TX35	2020	7/16/2020	10036968
	Daniel	Stephen		C	TX06	2020	5/15/2020	10035912
Mr.	Darden	Stephen Matson		C	TN01	2020	5/14/2020	10035821
