Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$KO, 4-3-2018, P, -1.7682619823173429, -3.077805407773049, 0.8841344811540308, -5.165235589718775, 2.512798976268038, -2.895321033932441, 7.561656584457888, -1.5780677779580596, 3.769190321079585, -8.19434411635105, 8.0967868776175, -4.9869986727318025, 11.67985109353189, 6.437834922441855, 16.030709632387175, 7.760147414467735, 9.213585388552815, 14.192918354507412, 8.934388087482548, 13.04455890894064, 8.771521637971148, 13.128920802752686, 8.003718008376005, -2.9863590764557024, 13.075844578873896, -0.038851081393698195, 14.378780828292225, 8.028101600288217, 20.9865053513262, 6.187572010287589, 21.8939018147976, 10.60638237864202, 27.919962773382977, 15.674429257611887, 24.47650069799907, 13.297142889458915, 25.54676361098187, 6.62606521177187, 24.96509771986972, 5.735368527036865, 28.71102838529549, 3.7293714729136767, 26.38436482084692, 2.322090241670608, 27.152168450442083, 3.3487164513025256, 1.3960027919962759, 4.5288494550481335
$HD, 3-26-2015, P, 0.6086820694364725, -2.98713894358682, -1.1997185850412984, -4.8296886991621495, -0.5204692967495594, -3.120969793414763, 0.008823217988496168, -0.9572164640847092, 0.6174991124073825, 6.9016543427494526, 2.7963990579005005, 9.226925770362993, 9.871208452088842, 8.729524260011301, 18.922015535268045, 16.741109091407516, 16.663725152931153, 16.712518086471583, 14.775934943754997, 16.95684919401651, 15.693359953304874, 17.43029051459237, 15.208190585672288, 15.866858595963674, 19.16901447451471, 17.178389054600473, 17.440017489061255, 15.254227653486163, 10.568097119194618, 12.212325693015845, 20.412842974480917, 14.76784316727462, 19.468941253802562, 13.145760849149267, 12.120674734291859, 7.212401580300409, 8.353917533928046, 4.32874202737179, 15.781579783154731, 7.87760025216262, 18.877905620343107, 8.60273179094331, 19.17784474966617, 9.38081834733979, 18.50740544718239, 8.427396033443445, 29.73712570803524, 16.578467882657623
$IBM, 3-10-2015, P, 1.7167856497449119, 0.5122043930668063, 8.176683903132176, 5.825564056283139, 4.317041817655065, 3.030220710827858, 3.79699108532614, 3.516411538928077, -1.7731841438652585, -3.0164679293474106, -8.615287896668377, -2.7374839256201877, -4.511285544688526, -1.9521404521144707, -15.1879724866677, -15.574982294083561, -14.141607864350581, -13.517540835026743, -15.03759341963934, -12.028546063746216, -14.310783296587093, -11.741960878618718, -11.503759592590502, -8.238315360855752, -5.85213699803997, -5.14583011856703, -7.117794845195691, -7.122629637736722, -4.266925278185763, -6.081060962482854, -3.1328319624248646, -6.267656006042643, 1.6228044502704986, -3.988917579229523, -2.719305035615105, -5.4671120152743, -1.8107762477151845, -6.382396720835281, -1.2155400545536432, -6.3386572919305495, 4.461149581661039, -5.064265895684472, 4.636587544990434, -4.230900907080493, 5.119046173469433, -4.0290295653118156, 11.660401190711722, -3.462230970971669
$HD, 6-18-2015, P, 1.0714947068520608, 0.3900305008848637, 9.697464608274164, 10.194366321367742, 4.907261028403775, 12.289775413738258, 10.399786789119169, 14.569015923274952, 13.848374101357376, 16.34234270193443, 17.7111456457977, 21.752598525845524, 17.152893339688347, 22.27332924069101, 18.08931781180114, 22.779111997497935, 16.1534326697899, 22.291335335427142, 14.289575261832809, 21.851922595724695, 13.848374101357376, 21.476974807699733, 15.370076811994915, 16.548436105718444, 21.97011474824626, 19.7648225026801, 22.483343642775864, 19.156478815490207, 14.064471710147174, 12.72993618097642, 13.587253981402014, 12.200662231020187, 16.090397372418465, 12.418063326019027, 21.609940961821383, 15.01299707277739, 21.645964733404742, 15.148404215705046, 20.961640932138348, 14.189601210667146, 21.537906024453555, 14.458257100316983, 20.62849217771461, 13.425803642361924, 19.953181522657705, 12.570660038747606, 41.28399678163148, 26.007862994530683
$IBM, 6-10-2015, P, -0.4985290258115005, 0.49492851331677246, -5.838188905093733, -5.795204713399993, -12.397139996482064, -5.3235395027723555, -8.462977101838643, -4.6658728415075466, -18.697821529887026, -17.809442084685255, -17.694759514242307, -15.808148684452682, -18.55366572906283, -14.312375089494344, -17.85693381413497, -14.050275176157735, -19.286443051040802, -14.018257893946073, -19.69488078278333, -12.989052184946292, -20.007214246885276, -13.234518378979278, -8.2287294063088, -8.749344597611643, -7.141569249157021, -8.966093818687638, -2.5827394263097103, -6.852693676439969, -6.745155662647728, -8.187580113199978, -5.8742253025939934, -9.117292199548343, -5.30362228050868, -9.091179327544008, 0.13814402852592167, -7.995781274381031, 0.3063216918036682, -7.178035367095825, 0.7688143201148856, -6.992565241459836, 1.6577541696872533, -6.414084872960668, 1.3213988431317603, -6.874619884384581, 1.7898948348280763, -6.587623156706468, -7.3878326810068895, -23.512402011010458
$PG, 2-19-2020, P, -6.599917606726757, 22.57205503145746, -2.707246338922653, 13.628353450827204, -7.817382584179134, 5.042678945941491, -3.4921906846966833, 3.500318084264575, 0.4965983259366924, 5.339848737170727, 8.562270862030786, 8.189264270234276, 9.731679771432589, 13.31082559513277, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$KO, 4-2-2019, P, 3.8074844919786077, 1.835737945151994, 5.15508021390374, 8.906307546580827, 10.759356149732625, 7.413678727382945, 11.037433155080212, 8.3070469313824, 17.604278074866308, 16.020584235729295, 15.957217112299471, 14.048396378064343, 15.422457754010699, 7.797651323522858, 14.053475935828885, 4.07235927322942, 18.33155080213904, 5.2214966768086235, 16.192513368983953, 3.914512426815044, 16.898400000000002, 4.854636919290556, -9.689837433155068, 4.5913839745816425, -3.0588235294117694, -1.2059292372709751, 0.8770053475935846, -6.293312913723481, -3.122992513368994, -12.981746573190033, 0.8342224598930637, -13.94692586540991, 5.58288983957218, -18.41025861540497, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$PG, 5-17-2016, P, 2.045564699235225, 1.7016767907164665, 5.365014764392639, 0.7587987043495836, 5.8917173676104495, 0.30226051943742505, 7.692306561640216, 3.977302328399035, 8.31700279663159, 5.105732441496902, 1.9965678833484546, -3.6171081832226504, 3.8094084249070015, -5.291624396427741, 2.7437506460527894, -6.2555641703997855, 3.441937817760121, -5.838304045255982, 3.3929508009915565, -6.202126370540274, 4.0421399319223505, -5.678867197560122, 5.634491739765934, -10.64953124779504, 9.750121383514475, -8.233985824231581, 6.651152702733354, -12.243544903278059, 13.179817652864001, -6.087835476683745, 14.12297787999728, -6.77695069551616, 13.963745883926325, -9.658257093144208, 8.953941804923327, -16.116285960786293, 12.665365172285203, -17.190295444833747, 12.59186566134083, -17.137857732497853, 11.134252953628753, -19.13794596187357, 11.256740706231504, -20.10042426761258, 11.7956860827497, -20.19598337408608, -9.946107422171824, -41.661690479378635
$HD, 3-24-2017, P, 2.1846438071838836, 0.9900077715715438, 4.633067786280631, 2.0987210530770017, 2.583694179897411, -1.4780810555796942, -0.8386912070872721, -6.133506351408135, 1.2715521972991972, -3.2595489092136942, 8.251603993847656, 1.9498765918024352, 11.376389122364984, 1.8960578116800093, 16.40851810313759, 5.341020259198224, 27.51436682390125, 13.575471737692869, 28.650658965817, 14.374700997474111, 27.155896091069476, 12.402083793813157, 17.76124040197875, 5.921493235832909, 21.271556120193868, 7.042524083096691, 26.33749436574253, 9.898379177567662, 33.52045721256174, 16.85521437326749, 37.659784065209976, 17.431947650580668, 35.50896034458057, 13.297169283308104, 43.06391303088617, 18.761502507428784, 20.784575416249893, 4.166271307928014, 15.116665602299673, 1.7196209183899072, 8.32600439664506, 6.3377853077343005, 14.785255402695064, 9.836031598386331, 16.225897210988283, 10.316693906721785, 27.663166953134912, 8.681176573878794
$IBM, 3-13-2017, P, -4.458817954720795, -2.783876416236208, -15.3106607148498, -16.089217250043742, -12.600507868411325, -15.277050724158801, -13.578863191042013, -16.27224301372908, -20.157438735200273, -23.511533999784398, -18.27382564159149, -23.36599223304353, -17.07619284533508, -24.44931142485529, -16.2890076034071, -24.575348573997566, -11.94827061180982, -24.33780163591409, -13.129044257665079, -25.846829644370438, -11.532195281455316, -24.721319370107874, -9.985948496397567, -27.75381394896607, -10.784372984502467, -23.321200535567776, -18.76862742416776, -33.8010328410604, -17.464161907309695, -34.958483881350645, -17.655331988012424, -35.14124179118366, -18.94855825869357, -38.24407503538572, -17.14928252518586, -39.327555864514906, -21.068315848131036, -37.030774310433415, -31.858308736857733, -46.78550415237821, -31.81894972778354, -43.98122336136392, -37.01996164115957, -40.53818450788424, -35.60303900130315, -40.06815188037716, -22.378409703286717, -40.41561907196801
