Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$CLNC, 12-10-2018, P, -8.362779740871618, -1.7599019149446287, -6.890459363957602, -1.141892979240911, -6.890459363957602, -0.89888883596333, -4.652526501766796, -0.5973975186797098, -2.8857479387514817, -0.398756966222491, -0.647815076560676, 1.558205772549337, -1.1778504122497147, 1.5217680465652306, -0.5300412249705566, 1.6304182457447691, -0.11779151943462907, 2.354020047406924, -3.18020612485278, -6.153216395062177, -7.420494699646641, -11.935061744385356, -18.786808009422863, -37.942373547554865, -22.084805653710248, -44.93099737725869, -23.79269729093051, -45.73521545819553, -22.26148409893993, -43.94960198799558, -20.61248527679623, -43.26122854005217, -20.376914016489987, -42.995286697857864, -19.787985865724387, -43.628973902345635, -20.730270906949343, -45.00031503251496, -19.96466431095406, -43.89298613819942, -19.493521790341582, -43.83190779365225, -23.498233215547703, -49.264272357553985, -38.515901060070675, -46.591999478191546, None, None
$BRK.B, 2-27-2015, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$UNP, 3-12-2015, S, -3.5019107837693575, -5.747842827176064, -7.603406193892837, -9.722672541921341, -12.808486047819144, -15.429554025531989, -14.233580739770924, -16.05079310012394, -20.394508682750978, -21.295807545201008, -24.817522161669746, -20.768999213980887, -15.919360168241914, -14.048563571954354, -27.155022121045846, -27.759136429827734, -32.6555451398063, -31.101424474452102, -33.20298777888446, -30.87911068827067, -31.343412732995958, -29.462870448075797, -29.874873481493335, -28.364598184058963, -31.93430601434991, -31.427634463471232, -26.26868567485774, -27.25767429877348, -23.10566869819831, -25.10313829766898, -20.246787100333897, -24.76301248560686, -19.473412939287215, -25.82145849974824, -20.13381786350681, -23.607463081124582, -15.936742858242214, -19.995011007376696, -15.258954375061617, -20.993147245913057, -8.472366901766303, -18.77149947263087, -9.210982634498045, -18.847540406020947, -10.592633635859682, -20.511760838410765, -7.577338241617337, -23.34270937494508
$PAA, 2-26-2015, P, -6.073928193285272, -2.9725680968662016, 2.5774246269215872, 2.194483068353903, -5.89410800987229, -6.3101395829427975, -11.50848774242733, -10.926977257962712, -19.860136260941786, -17.69485547738052, -35.064933767531144, -25.87431272348086, -40.939061757024206, -31.60660873759253, -37.362636111141576, -35.36755246883983, -52.34765139555746, -51.35955998080881, -52.547451599349685, -49.398811813960876, -54.62537571679073, -49.41073937440488, -57.32267447198151, -50.254786462675305, -56.50349563443549, -52.76389519456409, -52.06793111024838, -50.895459971301165, -53.38661245527698, -52.403252980680904, -46.97302391554493, -42.27842869418705, -43.036961898840396, -45.405529838164, -42.996999860079924, -46.02271557441964, -39.9200787196819, -41.57476855223315, -35.944052666214844, -36.74303288938087, -37.362636111141576, -41.9201246785113, -33.106891770367476, -39.96203536236551, -35.064933767531144, -41.45675900596108, -37.18281392972656, -49.058756878366054
$RRMS, 2-10-2015, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$WPZ, 2-18-2015, S, -2.073633181279455, -0.9909254846793947, 7.998313922907907, 8.284494400134257, 23.71985500295619, 22.489290779557614, 13.330518972937732, 12.543533392225825, 0.35971647734729384, -1.1140963343704957, -14.092256203650289, -14.378429526436264, -19.593733372565957, -12.94010524423682, -28.417258925825607, -25.002204140269093, -30.892929788105373, -29.166319594966208, -52.34870725132066, -49.0624343005675, -41.91705001764918, -37.54330260514794, -63.753703502061086, -55.902894246138345, -56.79221145967885, -54.17368341653334, -49.661443066502045, -48.764750819944624, -32.2894596821608, -29.799713473818656, -29.729156992346883, -29.328509761604682, -22.51375253972715, -25.523385697990385, -23.465934128901157, -27.60596648337924, -21.688532445557872, -23.820556157624583, -22.38679316067682, -24.571282768909406, -23.95260152148123, -28.440821888013325, -24.693183440253208, -32.12902990718355, -19.593733372565957, -26.929414335349875, -14.980952813413161, -27.315208039316907
$WPZ, 2-19-2015, S, -1.3121671957671999, -1.5748112860657693, 8.021166137566137, 8.188305239478376, 23.576717460317465, 21.747769020967823, 13.608465608465604, 12.629523360797236, 0.3809523809523707, -1.2140029393292728, -15.322755555555545, -15.1699414617265, -17.354499470899476, -11.160907115111163, -28.402112169312165, -25.102363414233597, -31.513225396825405, -31.121645250539764, -51.21693333333334, -47.3966764940278, -41.90475978835979, -37.64517389006623, -61.142855026455024, -52.43266656764577, -56.19047407407407, -53.640454066433946, -47.703705820105824, -47.86129189225928, -34.497352380952385, -31.942552754474185, -29.714287830687823, -29.432545321385362, -22.751322751322757, -25.860053889115022, -19.809525925925918, -24.0595587944607, -21.671961904761893, -23.925913917484277, -21.71428148148149, -23.915704485131315, -21.73544973544974, -26.396160214209875, -24.677248677248677, -32.24135530894523, -19.576719576719583, -27.040541123659636, -14.962962962962967, -27.431326222246433
